Partner,ZIP
80,90001
80,90002
80,90003
80,90004
80,90005
80,90006
80,90007
80,90008
80,90010
80,90011
80,90012
80,90015
80,90016
80,90017
80,90018
80,90019
80,90020
80,90021
80,90022
80,90023
80,90024
80,90025
80,90026
80,90027
80,90028
80,90029
80,90031
80,90032
80,90033
80,90034
80,90035
80,90036
80,90037
80,90038
80,90039
80,90041
80,90042
80,90043
80,90044
80,90045
80,90046
80,90047
80,90048
80,90049
80,90057
80,90058
80,90059
80,90061
80,90062
80,90063
80,90064
80,90065
80,90066
80,90068
80,90069
80,90071
80,90077
80,90094
80,90201
80,90212
80,90230
80,90247
80,90248
80,90249
80,90250
80,90255
80,90270
80,90272
80,90275
80,90280
80,90290
80,90291
80,90292
80,90293
80,90303
80,90401
80,90402
80,90501
80,90502
80,90710
80,90717
80,90731
80,90732
80,90744
80,90745
80,90746
80,90810
80,91040
80,91042
80,91303
80,91304
80,91306
80,91307
80,91311
80,91316
80,91324
80,91325
80,91326
80,91331
80,91335
80,91340
80,91342
80,91343
80,91344
80,91345
80,91352
80,91356
80,91364
80,91367
80,91396
80,91401
80,91402
80,91403
80,91405
80,91406
80,91411
80,91423
80,91436
80,91504
80,91601
80,91602
80,91604
80,91605
80,91606
80,91607
80,91754
80,94606