School Year,SCHOOL_NAME,DIST_ASSIGNED,SCHOOL_ASSIGNED,NCES_SCHOOL_ID,COURSEID,COURSE_NAME
2017-2018,Absegami High School,1790,040,340606000122,10152,COMPUTER PROGRAMMING
2017-2018,Absegami High School,1790,040,340606000122,10155,JAVA PROGRAMMING
2017-2018,Absegami High School,1790,040,340606000122,10157,AP COMPUTER SCIENCE A
2017-2018,Academy For Information Technology,5260,030,341804006134,10155,JAVA PROGRAMMING
2017-2018,Academy For Information Technology,5260,030,341804006134,10157,AP COMPUTER SCIENCE A
2017-2018,Academy for Urban Leadership Charter School,6032,901,340074103050,10152,COMPUTER PROGRAMMING
2017-2018,Allentown High School,5310,050,341656004124,10152,COMPUTER PROGRAMMING
2017-2018,Allentown High School,5310,050,341656004124,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,Arthur L. Johnson High School,0850,005,340315000205,10152,COMPUTER PROGRAMMING
2017-2018,Arthur L. Johnson High School,0850,005,340315000205,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,Arthur L. Johnson High School,0850,005,340315000205,10155,JAVA PROGRAMMING
2017-2018,Arthur L. Johnson High School,0850,005,340315000205,10157,AP COMPUTER SCIENCE A
2017-2018,ARTHUR P SCHALICK HIGH SCHOOL,4150,040,341311005080,10152,COMPUTER PROGRAMMING
2017-2018,ARTHUR P SCHALICK HIGH SCHOOL,4150,040,341311005080,10154,C++ PROGRAMMING
2017-2018,ARTHUR P SCHALICK HIGH SCHOOL,4150,040,341311005080,10157,AP COMPUTER SCIENCE A
2017-2018,Atlantic City High School,0110,010,340096000010,10152,COMPUTER PROGRAMMING
2017-2018,Atlantic County Institute of Technology,0120,010,340099000034,10152,COMPUTER PROGRAMMING
2017-2018,Atlantic County Institute of Technology,0120,010,340099000034,10154,C++ PROGRAMMING
2017-2018,Atlantic County Institute of Technology,0120,010,340099000034,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,Atlantic County Institute of Technology,0120,010,340099000034,10157,AP COMPUTER SCIENCE A
2017-2018,Audubon Junior/Senior High School,0150,010,340105001298,10152,COMPUTER PROGRAMMING
2017-2018,Barnegat High School,0185,030,341647000557,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Barnegat High School,0185,030,341647000557,10157,AP COMPUTER SCIENCE A
2017-2018,Bayonne High School,0220,020,340126002704,10152,COMPUTER PROGRAMMING
2017-2018,Bayonne High School,0220,020,340126002704,10157,AP COMPUTER SCIENCE A
2017-2018,Bergen County Academies,0290,020,340147000250,10152,COMPUTER PROGRAMMING
2017-2018,Bergen County Academies,0290,020,340147000250,10157,AP COMPUTER SCIENCE A
2017-2018,Bergen County Technical High School - Teterboro,0290,070,340147000262,10152,COMPUTER PROGRAMMING
2017-2018,Bergen County Technical High School - Teterboro,0290,070,340147000262,10155,JAVA PROGRAMMING
2017-2018,Bergen County Technical High School - Teterboro,0290,070,340147000262,10157,AP COMPUTER SCIENCE A
2017-2018,Bergenfield High School,0300,020,340150000268,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Bergenfield High School,0300,020,340150000268,10157,AP COMPUTER SCIENCE A
2017-2018,Bernards High School,4815,020,340000900176,10157,AP COMPUTER SCIENCE A
2017-2018,BIOTECHNOLOGY HIGH SCHOOL,3260,028,341750006121,10157,AP COMPUTER SCIENCE A
2017-2018,BLOOMFIELD HIGH SCHOOL,0410,020,340183001980,10152,COMPUTER PROGRAMMING
2017-2018,BLOOMFIELD HIGH SCHOOL,0410,020,340183001980,10157,AP COMPUTER SCIENCE A
2017-2018,Boonton High School,0450,020,340195004154,10152,COMPUTER PROGRAMMING
2017-2018,Boonton High School,0450,020,340195004154,10157,AP COMPUTER SCIENCE A
2017-2018,Bordentown Regional High School,0475,050,340203000960,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Bordentown Regional High School,0475,050,340203000960,10152,COMPUTER PROGRAMMING
2017-2018,Brick Township High School,0530,020,340222004582,10155,JAVA PROGRAMMING
2017-2018,Brick Township High School,0530,020,340222004582,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,Brick Township High School,0530,020,340222004582,10157,AP COMPUTER SCIENCE A
2017-2018,Brick Township Memorial High School,0530,025,340222005896,10155,JAVA PROGRAMMING
2017-2018,Brick Township Memorial High School,0530,025,340222005896,10157,AP COMPUTER SCIENCE A
2017-2018,BRIDGEWATER-RARITAN HIGH SCHOOL,0555,005,340228000173,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,BRIDGEWATER-RARITAN HIGH SCHOOL,0555,005,340228000173,10152,COMPUTER PROGRAMMING
2017-2018,BRIDGEWATER-RARITAN HIGH SCHOOL,0555,005,340228000173,10157,AP COMPUTER SCIENCE A
2017-2018,Burlington City High School,0600,020,340243000966,10152,COMPUTER PROGRAMMING
2017-2018,Burlington Township High School,0620,010,340246001004,10155,JAVA PROGRAMMING
2017-2018,Camden's Promise Charter School,6107,998,340078503390,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Camden's Promise Charter School,6107,998,340078503390,10152,COMPUTER PROGRAMMING
2017-2018,Camden's Promise Charter School,6107,998,340078503390,10155,JAVA PROGRAMMING
2017-2018,Camden's Promise Charter School,6107,998,340078503390,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,Carteret High School,0750,030,340282003268,10152,COMPUTER PROGRAMMING
2017-2018,Central Jersey College Prep Charter School,6018,900,340009000829,10155,JAVA PROGRAMMING
2017-2018,Chatham High School,0785,010,340000406014,10152,COMPUTER PROGRAMMING
2017-2018,Chatham High School,0785,010,340000406014,10157,AP COMPUTER SCIENCE A
2017-2018,Cherokee High School,2610,040,340849001092,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,Cherokee High School,2610,040,340849001092,10155,JAVA PROGRAMMING
2017-2018,Cherry Hill High School East,0800,030,340300001418,10152,COMPUTER PROGRAMMING
2017-2018,Cherry Hill High School East,0800,030,340300001418,10157,AP COMPUTER SCIENCE A
2017-2018,Cherry Hill High School West,0800,040,340300001420,10157,AP COMPUTER SCIENCE A
2017-2018,Churchill Jr High School,1170,055,340411003296,10152,COMPUTER PROGRAMMING
2017-2018,Cicely L. Tyson Community Middle/High School,1210,150,340423002064,10152,COMPUTER PROGRAMMING
2017-2018,CINNAMINSON HIGH SCHOOL,0840,030,340312001020,10155,JAVA PROGRAMMING
2017-2018,Collingswood High School,0940,030,340342001474,10152,COMPUTER PROGRAMMING
2017-2018,Collingswood High School,0940,030,340342001474,10157,AP COMPUTER SCIENCE A
2017-2018,COLONIA HIGH SCHOOL,5850,020,341812003668,10152,COMPUTER PROGRAMMING
2017-2018,COLONIA HIGH SCHOOL,5850,020,341812003668,10157,AP COMPUTER SCIENCE A
2017-2018,Colts Neck High School,1650,010,340561000237,10157,AP COMPUTER SCIENCE A
2017-2018,Columbia High School,4900,030,341533002422,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Communications High School,3260,004,341750000409,10155,JAVA PROGRAMMING
2017-2018,County Prep High School,2295,030,340757005906,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,County Prep High School,2295,030,340757005906,10157,AP COMPUTER SCIENCE A
2017-2018,Cranford High School,0980,030,340357005458,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Cranford High School,0980,030,340357005458,10152,COMPUTER PROGRAMMING
2017-2018,Cranford High School,0980,030,340357005458,10157,AP COMPUTER SCIENCE A
2017-2018,Cresskill High School,0990,040,340360000324,10152,COMPUTER PROGRAMMING
2017-2018,Cresskill High School,0990,040,340360000324,10154,C++ PROGRAMMING
2017-2018,Cresskill High School,0990,040,340360000324,10157,AP COMPUTER SCIENCE A
2017-2018,Cumberland Regional High School,0997,030,340362001820,10152,COMPUTER PROGRAMMING
2017-2018,Cumberland Regional High School,0997,030,340362001820,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,Cumberland Regional High School,0997,030,340362001820,10154,C++ PROGRAMMING
2017-2018,Cumberland Regional High School,0997,030,340362001820,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,David Brearley Middle/High School,2420,010,340792000209,10152,COMPUTER PROGRAMMING
2017-2018,David Brearley Middle/High School,2420,010,340792000209,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,DELAWARE VALLEY REGIONAL HIGH SCHOOL,1050,040,340375002978,10152,COMPUTER PROGRAMMING
2017-2018,DELAWARE VALLEY REGIONAL HIGH SCHOOL,1050,040,340375002978,10157,AP COMPUTER SCIENCE A
2017-2018,Delran High School,1060,005,340378001040,10152,COMPUTER PROGRAMMING
2017-2018,Delran High School,1060,005,340378001040,10157,AP COMPUTER SCIENCE A
2017-2018,Delsea Regional High School,4940,050,341545002630,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,Delsea Regional High School,4940,050,341545002630,10154,C++ PROGRAMMING
2017-2018,Delsea Regional High School,4940,050,341545002630,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,Delsea Regional High School,4940,050,341545002630,10157,AP COMPUTER SCIENCE A
2017-2018,Deptford Township High School,1100,040,340390002512,10157,AP COMPUTER SCIENCE A
2017-2018,Dover High School,1110,040,340393004212,10152,COMPUTER PROGRAMMING
2017-2018,Dunellen High School,1140,040,340402003286,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,East Brunswick High School,1170,050,340411003294,10152,COMPUTER PROGRAMMING
2017-2018,East Brunswick High School,1170,050,340411003294,10155,JAVA PROGRAMMING
2017-2018,East Brunswick High School,1170,050,340411003294,10157,AP COMPUTER SCIENCE A
2017-2018,East Orange STEM Academy High School,1210,030,340423002040,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,East Orange STEM Academy High School,1210,030,340423002040,10152,COMPUTER PROGRAMMING
2017-2018,Eastern Regional High School,1255,050,340438001488,10152,COMPUTER PROGRAMMING
2017-2018,Eastern Regional High School,1255,050,340438001488,10157,AP COMPUTER SCIENCE A
2017-2018,Edison High School,1290,050,340450003324,10154,C++ PROGRAMMING
2017-2018,Edison High School,1290,050,340450003324,10155,JAVA PROGRAMMING
2017-2018,Edison High School,1290,050,340450003324,10157,AP COMPUTER SCIENCE A
2017-2018,EGG HARBOR TOWNSHIP HIGH SCHOOL,1310,005,340456005961,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,EGG HARBOR TOWNSHIP HIGH SCHOOL,1310,005,340456005961,10155,JAVA PROGRAMMING
2017-2018,EGG HARBOR TOWNSHIP HIGH SCHOOL,1310,005,340456005961,10157,AP COMPUTER SCIENCE A
2017-2018,Elizabeth High School,1320,025,340459005478,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Elizabeth High School,1320,025,340459005478,10152,COMPUTER PROGRAMMING
2017-2018,Emerson Jr Sr High,1360,050,340471000380,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Emerson Jr Sr High,1360,050,340471000380,10152,COMPUTER PROGRAMMING
2017-2018,Emerson Jr Sr High,1360,050,340471000380,10155,JAVA PROGRAMMING
2017-2018,Ewing High School,1430,050,340492003068,10152,COMPUTER PROGRAMMING
2017-2018,FAIR LAWN HIGH SCHOOL,1450,050,340498000410,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,FAIR LAWN HIGH SCHOOL,1450,050,340498000410,10157,AP COMPUTER SCIENCE A
2017-2018,Florence M. Gaudineer Middle School,5000,060,341563005700,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,Fort Lee High School,1550,050,340531000442,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Fort Lee High School,1550,050,340531000442,10152,COMPUTER PROGRAMMING
2017-2018,Fort Lee High School,1550,050,340531000442,10154,C++ PROGRAMMING
2017-2018,Freedom Prep Charter School,6240,900,340008000566,10152,COMPUTER PROGRAMMING
2017-2018,Freehold Borough High School,1650,050,340561003796,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Freehold Borough High School,1650,050,340561003796,10152,COMPUTER PROGRAMMING
2017-2018,Freehold Borough High School,1650,050,340561003796,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,Freehold Borough High School,1650,050,340561003796,10154,C++ PROGRAMMING
2017-2018,Freehold Borough High School,1650,050,340561003796,10157,AP COMPUTER SCIENCE A
2017-2018,Freehold Township High School,1650,055,340561003798,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Freehold Township High School,1650,055,340561003798,10157,AP COMPUTER SCIENCE A
2017-2018,GARFIELD HIGH SCHOOL,1700,050,340576000466,10152,COMPUTER PROGRAMMING
2017-2018,GARFIELD HIGH SCHOOL,1700,050,340576000466,10157,AP COMPUTER SCIENCE A
2017-2018,Gateway Regional High School,1715,050,340582002554,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,Gateway Regional High School,1715,050,340582002554,10157,AP COMPUTER SCIENCE A
2017-2018,Glassboro High School,1730,050,340588002558,10152,COMPUTER PROGRAMMING
2017-2018,Glen Ridge High School,1750,050,340594002092,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Glen Ridge High School,1750,050,340594002092,10152,COMPUTER PROGRAMMING
2017-2018,Glen Ridge High School,1750,050,340594002092,10157,AP COMPUTER SCIENCE A
2017-2018,Gloucester County Institute of Technology,1775,010,340604002570,10152,COMPUTER PROGRAMMING
2017-2018,Gloucester County Institute of Technology,1775,010,340604002570,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,Governor Livingston High School,0310,005,340153000201,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Governor Livingston High School,0310,005,340153000201,10152,COMPUTER PROGRAMMING
2017-2018,Governor Livingston High School,0310,005,340153000201,10155,JAVA PROGRAMMING
2017-2018,Governor Livingston High School,0310,005,340153000201,10157,AP COMPUTER SCIENCE A
2017-2018,Hackensack High School,1860,050,340627000496,10155,JAVA PROGRAMMING
2017-2018,Hackensack High School,1860,050,340627000496,10157,AP COMPUTER SCIENCE A
2017-2018,HADDON TOWNSHIP HIGH SCHOOL,1890,050,340636001540,10152,COMPUTER PROGRAMMING
2017-2018,Haddonfield Memorial High School,1900,050,340639001554,10152,COMPUTER PROGRAMMING
2017-2018,Haddonfield Memorial High School,1900,050,340639001554,10157,AP COMPUTER SCIENCE A
2017-2018,HAMILTON EAST - STEINERT,1950,050,340654003090,10157,AP COMPUTER SCIENCE A
2017-2018,HAMILTON NORTH-NOTTINGHAM,1950,055,340654005933,10157,AP COMPUTER SCIENCE A
2017-2018,HAMILTON WEST-WATSON,1950,060,340654003092,10157,AP COMPUTER SCIENCE A
2017-2018,Hammonton High School,1960,050,340657000136,10155,JAVA PROGRAMMING
2017-2018,Harrison High School,2060,050,340687002738,10157,AP COMPUTER SCIENCE A
2017-2018,Hasbrouck Heights High School,2080,050,340693000512,10157,AP COMPUTER SCIENCE A
2017-2018,Hawthorne High School,2100,050,340699004806,10152,COMPUTER PROGRAMMING
2017-2018,Helen A. Fort Middle School,4050,050,341281001200,10152,COMPUTER PROGRAMMING
2017-2018,Henry B. Whitehorne Middle School,5370,095,341674002456,10152,COMPUTER PROGRAMMING
2017-2018,HIGH POINT REGIONAL HIGH SCHOOL,2165,030,340714005358,10152,COMPUTER PROGRAMMING
2017-2018,HIGH POINT REGIONAL HIGH SCHOOL,2165,030,340714005358,10157,AP COMPUTER SCIENCE A
2017-2018,High Tech High School,2295,050,340757002766,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,High Tech High School,2295,050,340757002766,10157,AP COMPUTER SCIENCE A
2017-2018,HIGH TECHNOLOGY HIGH SCHOOL,3260,010,341750006095,10152,COMPUTER PROGRAMMING
2017-2018,HIGHLAND PARK HIGH SCHOOL,2150,050,340717003372,10157,AP COMPUTER SCIENCE A
2017-2018,HIGHTSTOWN HIGH SCHOOL,1245,050,340432003054,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,HIGHTSTOWN HIGH SCHOOL,1245,050,340432003054,10154,C++ PROGRAMMING
2017-2018,HIGHTSTOWN HIGH SCHOOL,1245,050,340432003054,10157,AP COMPUTER SCIENCE A
2017-2018,Hillsborough High School,2170,030,340723005222,10152,COMPUTER PROGRAMMING
2017-2018,Hillsborough High School,2170,030,340723005222,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,Hillsborough High School,2170,030,340723005222,10157,AP COMPUTER SCIENCE A
2017-2018,Hillside High School,2190,050,340729005540,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,Hillside High School,2190,050,340729005540,10154,C++ PROGRAMMING
2017-2018,Holmdel High School,2230,020,340741003850,10157,AP COMPUTER SCIENCE A
2017-2018,Hopatcong High School,2240,030,340744005362,10152,COMPUTER PROGRAMMING
2017-2018,Hopewell Valley Central High School,2280,030,340753003136,10152,COMPUTER PROGRAMMING
2017-2018,Hopewell Valley Central High School,2280,030,340753003136,10157,AP COMPUTER SCIENCE A
2017-2018,Howell High School,1650,060,340561003800,10152,COMPUTER PROGRAMMING
2017-2018,Howell High School,1650,060,340561003800,10157,AP COMPUTER SCIENCE A
2017-2018,Hunterdon Central Regional High School District,2300,050,340759003006,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Hunterdon Central Regional High School District,2300,050,340759003006,10152,COMPUTER PROGRAMMING
2017-2018,Hunterdon Central Regional High School District,2300,050,340759003006,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,Hunterdon Central Regional High School District,2300,050,340759003006,10157,AP COMPUTER SCIENCE A
2017-2018,INDIAN HILLS HIGH SCHOOL,4300,030,341356000724,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,INDIAN HILLS HIGH SCHOOL,4300,030,341356000724,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,INDIAN HILLS HIGH SCHOOL,4300,030,341356000724,10157,AP COMPUTER SCIENCE A
2017-2018,International High School,4010,035,341269000809,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Jackson Liberty High School,2360,025,340774000787,10152,COMPUTER PROGRAMMING
2017-2018,Jackson Liberty High School,2360,025,340774000787,10155,JAVA PROGRAMMING
2017-2018,Jackson Liberty High School,2360,025,340774000787,10157,AP COMPUTER SCIENCE A
2017-2018,Jackson Memorial High School,2360,020,340774004612,10152,COMPUTER PROGRAMMING
2017-2018,Jackson Memorial High School,2360,020,340774004612,10155,JAVA PROGRAMMING
2017-2018,Jackson Memorial High School,2360,020,340774004612,10157,AP COMPUTER SCIENCE A
2017-2018,JAMES CALDWELL HIGH SCHOOL,0660,050,340258002008,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,JAMES CALDWELL HIGH SCHOOL,0660,050,340258002008,10154,C++ PROGRAMMING
2017-2018,JAMES CALDWELL HIGH SCHOOL,0660,050,340258002008,10157,AP COMPUTER SCIENCE A
2017-2018,John E. Dwyer Technology Academy,1320,401,340459003071,10152,COMPUTER PROGRAMMING
2017-2018,John E. Dwyer Technology Academy,1320,401,340459003071,10157,AP COMPUTER SCIENCE A
2017-2018,JOHN F. KENNEDY HIGH SCHOOL,5850,040,341812003670,10152,COMPUTER PROGRAMMING
2017-2018,JOHN F. KENNEDY HIGH SCHOOL,5850,040,341812003670,10157,AP COMPUTER SCIENCE A
2017-2018,John F. Scarpa Technical Education Center of Cumberland Coun,0995,030,340361001816,10152,COMPUTER PROGRAMMING
2017-2018,John P. Stevens High School,1290,053,340450003326,10154,C++ PROGRAMMING
2017-2018,John P. Stevens High School,1290,053,340450003326,10155,JAVA PROGRAMMING
2017-2018,John P. Stevens High School,1290,053,340450003326,10157,AP COMPUTER SCIENCE A
2017-2018,Jonathan Dayton High School,5000,010,341563000213,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Kearny High School,2410,050,340789002866,10152,COMPUTER PROGRAMMING
2017-2018,Kearny High School,2410,050,340789002866,10157,AP COMPUTER SCIENCE A
2017-2018,Kinnelon High School,2460,050,340804004282,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Kinnelon High School,2460,050,340804004282,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,Kinnelon High School,2460,050,340804004282,10154,C++ PROGRAMMING
2017-2018,Kittatinny Regional High School,2465,050,340806005372,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Kittatinny Regional High School,2465,050,340806005372,10152,COMPUTER PROGRAMMING
2017-2018,Lacey Township High School,2480,020,340810005935,10157,AP COMPUTER SCIENCE A
2017-2018,Lakeland Regional High School,2510,050,340819004818,10155,JAVA PROGRAMMING
2017-2018,Lakeland Regional High School,2510,050,340819004818,10157,AP COMPUTER SCIENCE A
2017-2018,Lawrence High School,2580,040,340840003152,10155,JAVA PROGRAMMING
2017-2018,Lawrence High School,2580,040,340840003152,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,Lawrence High School,2580,040,340840003152,10157,AP COMPUTER SCIENCE A
2017-2018,LEAP ACADEMY UNIVERSITY CHARTER SCHOOL,7109,931,340007800487,10152,COMPUTER PROGRAMMING
2017-2018,Lenape High School,2610,050,340849001094,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,Lenape High School,2610,050,340849001094,10155,JAVA PROGRAMMING
2017-2018,Leonia High School,2620,050,340852000534,10155,JAVA PROGRAMMING
2017-2018,Leonia High School,2620,050,340852000534,10157,AP COMPUTER SCIENCE A
2017-2018,Linden High School,2660,050,340861005556,10154,C++ PROGRAMMING
2017-2018,Linden High School,2660,050,340861005556,10155,JAVA PROGRAMMING
2017-2018,Lindenwold High School,2670,005,340864000429,10152,COMPUTER PROGRAMMING
2017-2018,Livingston High School,2730,050,340882002126,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Livingston High School,2730,050,340882002126,10152,COMPUTER PROGRAMMING
2017-2018,Livingston High School,2730,050,340882002126,10157,AP COMPUTER SCIENCE A
2017-2018,Lodi High School,2740,050,340885000550,10152,COMPUTER PROGRAMMING
2017-2018,Lower Cape May Regional High School,2820,050,340909001720,10157,AP COMPUTER SCIENCE A
2017-2018,Lyndhurst High School,2860,050,340921000568,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Lyndhurst High School,2860,050,340921000568,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,Lyndhurst High School,2860,050,340921000568,10157,AP COMPUTER SCIENCE A
2017-2018,Madison High School,2870,050,340924004300,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Madison High School,2870,050,340924004300,10152,COMPUTER PROGRAMMING
2017-2018,Mahwah High School,2900,050,340933000586,10155,JAVA PROGRAMMING
2017-2018,Mahwah High School,2900,050,340933000586,10157,AP COMPUTER SCIENCE A
2017-2018,MAINLAND REGIONAL HIGH SCHOOL,2910,050,340936000158,10152,COMPUTER PROGRAMMING
2017-2018,MAINLAND REGIONAL HIGH SCHOOL,2910,050,340936000158,10157,AP COMPUTER SCIENCE A
2017-2018,Manalapan High School,1650,070,340561003802,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Manalapan High School,1650,070,340561003802,10157,AP COMPUTER SCIENCE A
2017-2018,Manasquan High School,2930,050,340942003940,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Manville High School,3000,050,340963005238,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,Manville High School,3000,050,340963005238,10157,AP COMPUTER SCIENCE A
2017-2018,Marcus Newcomb Middle School,4050,302,341281003398,10152,COMPUTER PROGRAMMING
2017-2018,Marine Academy of Technology and Environmental Science,3790,045,341198000559,10152,COMPUTER PROGRAMMING
2017-2018,Marlboro High School,1650,080,340561003804,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Marlboro High School,1650,080,340561003804,10152,COMPUTER PROGRAMMING
2017-2018,Marlboro High School,1650,080,340561003804,10157,AP COMPUTER SCIENCE A
2017-2018,Matawan Regional High School,3040,050,340975003958,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,Matawan Regional High School,3040,050,340975003958,10157,AP COMPUTER SCIENCE A
2017-2018,MEMORIAL HIGH SCHOOL,3230,060,341032001870,10152,COMPUTER PROGRAMMING
2017-2018,Memorial High School,5670,050,341032001870,10152,COMPUTER PROGRAMMING
2017-2018,Mercer County Technical School Health Sciences Academy,3105,304,340995003409,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Metuchen High School,3120,050,340999003392,10152,COMPUTER PROGRAMMING
2017-2018,Metuchen High School,3120,050,340999003392,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,Metuchen High School,3120,050,340999003392,10157,AP COMPUTER SCIENCE A
2017-2018,Middle Township High School,3130,050,341002001732,10157,AP COMPUTER SCIENCE A
2017-2018,Middletown High School North,3160,050,341011003976,10152,COMPUTER PROGRAMMING
2017-2018,Middletown High School North,3160,050,341011003976,10157,AP COMPUTER SCIENCE A
2017-2018,Middletown High School South,3160,053,341011003978,10152,COMPUTER PROGRAMMING
2017-2018,Middletown High School South,3160,053,341011003978,10157,AP COMPUTER SCIENCE A
2017-2018,Midland Park Jr./Sr. High School,3170,050,341014000608,10152,COMPUTER PROGRAMMING
2017-2018,Midland Park Jr./Sr. High School,3170,050,341014000608,10157,AP COMPUTER SCIENCE A
2017-2018,Millburn High School,3190,050,341020002148,10157,AP COMPUTER SCIENCE A
2017-2018,MILLVILLE SENIOR HIGH SCHOOL,3230,050,341032001868,10152,COMPUTER PROGRAMMING
2017-2018,Monmouth Regional High School,3270,050,341044004026,10152,COMPUTER PROGRAMMING
2017-2018,Monmouth Regional High School,3270,050,341044004026,10155,JAVA PROGRAMMING
