School Year,SCHOOL_NAME,DIST_ASSIGNED,SCHOOL_ASSIGNED,NCES_SCHOOL_ID,COURSEID,COURSE_NAME
2017-2018,Monmouth Regional High School,3270,050,341044004026,10157,AP COMPUTER SCIENCE A
2017-2018,Monroe Township High School,3290,005,341050003438,10152,COMPUTER PROGRAMMING
2017-2018,Monroe Township High School,3290,005,341050003438,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,Monroe Township High School,3290,005,341050003438,10157,AP COMPUTER SCIENCE A
2017-2018,Montclair High School,3310,050,341056002166,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Montclair High School,3310,050,341056002166,10157,AP COMPUTER SCIENCE A
2017-2018,Montgomery High School,3320,030,341059005250,10155,JAVA PROGRAMMING
2017-2018,Montgomery High School,3320,030,341059005250,10157,AP COMPUTER SCIENCE A
2017-2018,Montville Township High School,3340,010,341065004332,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Montville Township High School,3340,010,341065004332,10155,JAVA PROGRAMMING
2017-2018,Montville Township High School,3340,010,341065004332,10157,AP COMPUTER SCIENCE A
2017-2018,Moorestown High School,3360,040,341071001132,10155,JAVA PROGRAMMING
2017-2018,Moorestown High School,3360,040,341071001132,10157,AP COMPUTER SCIENCE A
2017-2018,Morris County School of Technology,3365,050,341072004348,10152,COMPUTER PROGRAMMING
2017-2018,Morris County School of Technology,3365,050,341072004348,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,Morris County School of Technology,3365,050,341072004348,10157,AP COMPUTER SCIENCE A
2017-2018,Morris Hills High School,3370,050,341074004352,10157,AP COMPUTER SCIENCE A
2017-2018,Morris Knolls High School,3370,060,341074004354,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,Morris Knolls High School,3370,060,341074004354,10157,AP COMPUTER SCIENCE A
2017-2018,Mount Olive High School,3450,010,341098004398,10152,COMPUTER PROGRAMMING
2017-2018,Mount Olive High School,3450,010,341098004398,10155,JAVA PROGRAMMING
2017-2018,Mount Olive High School,3450,010,341098004398,10157,AP COMPUTER SCIENCE A
2017-2018,Mountain Lakes High School,3460,050,341101004416,10152,COMPUTER PROGRAMMING
2017-2018,Mountain Lakes High School,3460,050,341101004416,10155,JAVA PROGRAMMING
2017-2018,Mountain Lakes High School,3460,050,341101004416,10157,AP COMPUTER SCIENCE A
2017-2018,NEPTUNE HIGH SCHOOL,3510,050,341116004032,10155,JAVA PROGRAMMING
2017-2018,New Brunswick High School,3530,050,341122003454,10152,COMPUTER PROGRAMMING
2017-2018,New Egypt High School,4190,010,341323000341,10157,AP COMPUTER SCIENCE A
2017-2018,NEW MILFORD HIGH SCHOOL,3550,050,341128000624,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,New Providence High School,3560,050,341131005592,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,New Providence High School,3560,050,341131005592,10152,COMPUTER PROGRAMMING
2017-2018,North 13th St Tech,1390,050,340480002074,10152,COMPUTER PROGRAMMING
2017-2018,North Arlington High School,3600,050,341143000636,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,North Bergen High School,3610,050,341146002882,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,North Bergen High School,3610,050,341146002882,10154,C++ PROGRAMMING
2017-2018,North Bergen High School,3610,050,341146002882,10155,JAVA PROGRAMMING
2017-2018,North Brunswick Township High School,3620,040,341149003480,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,North Brunswick Township High School,3620,040,341149003480,10155,JAVA PROGRAMMING
2017-2018,North Brunswick Township High School,3620,040,341149003480,10157,AP COMPUTER SCIENCE A
2017-2018,North Hunterdon High School,3660,050,341161003024,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,North Hunterdon High School,3660,050,341161003024,10152,COMPUTER PROGRAMMING
2017-2018,North Hunterdon High School,3660,050,341161003024,10155,JAVA PROGRAMMING
2017-2018,North Hunterdon High School,3660,050,341161003024,10157,AP COMPUTER SCIENCE A
2017-2018,North Plainfield High School,3670,050,341164005258,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,North Plainfield High School,3670,050,341164005258,10152,COMPUTER PROGRAMMING
2017-2018,North Star Academy Charter School,7320,960,340002400289,10152,COMPUTER PROGRAMMING
2017-2018,North Star Academy Charter School,7320,960,340002400289,10157,AP COMPUTER SCIENCE A
2017-2018,North Warren Regional School,3675,050,340955005844,10152,COMPUTER PROGRAMMING
2017-2018,North Warren Regional School,3675,050,340955005844,10157,AP COMPUTER SCIENCE A
2017-2018,Northern Burlington County Regional High School,3690,050,341170001182,10152,COMPUTER PROGRAMMING
2017-2018,Northern Burlington County Regional High School,3690,050,341170001182,10157,AP COMPUTER SCIENCE A
2017-2018,Northern Highlands Regional High School,3700,050,341173000646,10152,COMPUTER PROGRAMMING
2017-2018,Northern Highlands Regional High School,3700,050,341173000646,10155,JAVA PROGRAMMING
2017-2018,Northern Highlands Regional High School,3700,050,341173000646,10157,AP COMPUTER SCIENCE A
2017-2018,NORTHERN VALLEY REGIONAL HIGH SCHOOL AT DEMAREST,3710,050,341176000650,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,NORTHERN VALLEY REGIONAL HIGH SCHOOL AT DEMAREST,3710,050,341176000650,10157,AP COMPUTER SCIENCE A
2017-2018,Northern Valley Regional High School at Old Tappan,3710,060,341176000652,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Northern Valley Regional High School at Old Tappan,3710,060,341176000652,10157,AP COMPUTER SCIENCE A
2017-2018,NUTLEY HIGH SCHOOL,3750,050,341188002378,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,NUTLEY HIGH SCHOOL,3750,050,341188002378,10152,COMPUTER PROGRAMMING
2017-2018,Oakcrest High School,1790,050,340606000124,10152,COMPUTER PROGRAMMING
2017-2018,Oakcrest High School,1790,050,340606000124,10155,JAVA PROGRAMMING
2017-2018,Ocean City High School,3780,050,341197001746,10155,JAVA PROGRAMMING
2017-2018,Ocean City High School,3780,050,341197001746,10157,AP COMPUTER SCIENCE A
2017-2018,Ocean County Vocational Technical School Toms River Center,3790,030,341198004674,10152,COMPUTER PROGRAMMING
2017-2018,Ocean Township High School,3810,030,341206004058,10155,JAVA PROGRAMMING
2017-2018,Ocean Township High School,3810,030,341206004058,10157,AP COMPUTER SCIENCE A
2017-2018,Old Bridge High School,3845,040,340927003496,10152,COMPUTER PROGRAMMING
2017-2018,Old Bridge High School,3845,040,340927003496,10157,AP COMPUTER SCIENCE A
2017-2018,ORANGE HIGH SCHOOL,3880,050,341227002396,10157,AP COMPUTER SCIENCE A
2017-2018,Palmyra High School,3920,050,341239001188,10152,COMPUTER PROGRAMMING
2017-2018,Palmyra High School,3920,050,341239001188,10155,JAVA PROGRAMMING
2017-2018,Paramus High School,3930,050,341242000688,10152,COMPUTER PROGRAMMING
2017-2018,Paramus High School,3930,050,341242000688,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,Paramus High School,3930,050,341242000688,10155,JAVA PROGRAMMING
2017-2018,Paramus High School,3930,050,341242000688,10157,AP COMPUTER SCIENCE A
2017-2018,Park Ridge High School,3940,050,341245000710,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Park Ridge High School,3940,050,341245000710,10152,COMPUTER PROGRAMMING
2017-2018,Park Ridge High School,3940,050,341245000710,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,Parsippany High School,3950,050,341248004430,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,Parsippany High School,3950,050,341248004430,10157,AP COMPUTER SCIENCE A
2017-2018,Parsippany Hills High School,3950,053,341248004432,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,Parsippany Hills High School,3950,053,341248004432,10157,AP COMPUTER SCIENCE A
2017-2018,PASCACK HILLS HIGH SCHOOL,3960,040,341251000718,10155,JAVA PROGRAMMING
2017-2018,PASCACK HILLS HIGH SCHOOL,3960,040,341251000718,10157,AP COMPUTER SCIENCE A
2017-2018,PASCACK VALLEY HIGH SCHOOL,3960,050,341251000720,10155,JAVA PROGRAMMING
2017-2018,PASCACK VALLEY HIGH SCHOOL,3960,050,341251000720,10157,AP COMPUTER SCIENCE A
2017-2018,Passaic Arts and Science Charter School,6080,966,340074503137,10157,AP COMPUTER SCIENCE A
2017-2018,Passaic County Technical Institute,3995,050,341263004860,10155,JAVA PROGRAMMING
2017-2018,Passaic County Technical Institute,3995,050,341263004860,10157,AP COMPUTER SCIENCE A
2017-2018,Passaic High School No. 12,3970,050,341254004836,10152,COMPUTER PROGRAMMING
2017-2018,Passaic High School No. 12,3970,050,341254004836,10155,JAVA PROGRAMMING
2017-2018,Passaic Valley Regional High School,3990,050,341257004858,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Passaic Valley Regional High School,3990,050,341257004858,10152,COMPUTER PROGRAMMING
2017-2018,Passaic Valley Regional High School,3990,050,341257004858,10157,AP COMPUTER SCIENCE A
2017-2018,Paterson Charter School for Science/Technology,7503,970,340008700735,10152,COMPUTER PROGRAMMING
2017-2018,Paulsboro High School,4020,050,341272002608,10152,COMPUTER PROGRAMMING
2017-2018,Pemberton Township High School,4050,055,341281001202,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,Pemberton Township High School,4050,055,341281001202,10155,JAVA PROGRAMMING
2017-2018,Pemberton Township High School,4050,055,341281001202,10157,AP COMPUTER SCIENCE A
2017-2018,PENNSAUKEN HIGH SCHOOL,4060,050,341287001610,10152,COMPUTER PROGRAMMING
2017-2018,Pennsville Memorial High School,4075,050,340912005064,10154,C++ PROGRAMMING
2017-2018,Perth Amboy High School,4090,050,341293003530,10155,JAVA PROGRAMMING
2017-2018,PHILLIPSBURG HIGH SCHOOL,4100,050,341296005852,10152,COMPUTER PROGRAMMING
2017-2018,PHILLIPSBURG HIGH SCHOOL,4100,050,341296005852,10157,AP COMPUTER SCIENCE A
2017-2018,PINELANDS REGIONAL HIGH SCHOOL,4105,050,341300005917,10155,JAVA PROGRAMMING
2017-2018,Piscataway Township High School,4130,050,341305003554,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Piscataway Township High School,4130,050,341305003554,10152,COMPUTER PROGRAMMING
2017-2018,Piscataway Township High School,4130,050,341305003554,10157,AP COMPUTER SCIENCE A
2017-2018,Point Pleasant Beach High School,4220,050,341332004702,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Point Pleasant Beach High School,4220,050,341332004702,10157,AP COMPUTER SCIENCE A
2017-2018,Point Pleasant Borough High School,4210,030,341329004692,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Point Pleasant Borough High School,4210,030,341329004692,10152,COMPUTER PROGRAMMING
2017-2018,Point Pleasant Borough High School,4210,030,341329004692,10157,AP COMPUTER SCIENCE A
2017-2018,Princeton Charter School,7540,930,340004300323,10152,COMPUTER PROGRAMMING
2017-2018,Princeton High School,4255,050,341341003182,10152,COMPUTER PROGRAMMING
2017-2018,Princeton High School,4255,050,341341003182,10155,JAVA PROGRAMMING
2017-2018,Princeton High School,4255,050,341341003182,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,Princeton High School,4255,050,341341003182,10157,AP COMPUTER SCIENCE A
2017-2018,RAMAPO HIGH SCHOOL,4300,050,341356000726,10154,C++ PROGRAMMING
2017-2018,RAMAPO HIGH SCHOOL,4300,050,341356000726,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,RAMAPO HIGH SCHOOL,4300,050,341356000726,10157,AP COMPUTER SCIENCE A
2017-2018,RAMSEY HIGH SCHOOL,4310,050,341359000730,10155,JAVA PROGRAMMING
2017-2018,RAMSEY HIGH SCHOOL,4310,050,341359000730,10157,AP COMPUTER SCIENCE A
2017-2018,Rancocas Valley Regional High School,4320,050,341362001230,10154,C++ PROGRAMMING
2017-2018,Randolph High School,4330,050,341365004486,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Randolph High School,4330,050,341365004486,10152,COMPUTER PROGRAMMING
2017-2018,Randolph High School,4330,050,341365004486,10157,AP COMPUTER SCIENCE A
2017-2018,Raritan High School,2105,050,341368003826,10157,AP COMPUTER SCIENCE A
2017-2018,RED BANK REGIONAL HIGH SCHOOL,4365,050,341375004084,10152,COMPUTER PROGRAMMING
2017-2018,RED BANK REGIONAL HIGH SCHOOL,4365,050,341375004084,10157,AP COMPUTER SCIENCE A
2017-2018,Ridge High School,0350,050,340165005124,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,Ridge High School,0350,050,340165005124,10157,AP COMPUTER SCIENCE A
2017-2018,Ridgefield Park Jr Sr High School,4380,050,341380000754,10152,COMPUTER PROGRAMMING
2017-2018,Ridgefield Park Jr Sr High School,4380,050,341380000754,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,Ridgewood High School,4390,050,341383000764,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Ridgewood High School,4390,050,341383000764,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,Ridgewood High School,4390,050,341383000764,10155,JAVA PROGRAMMING
2017-2018,Ridgewood High School,4390,050,341383000764,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,Ridgewood High School,4390,050,341383000764,10157,AP COMPUTER SCIENCE A
2017-2018,Robbinsville High School,5510,030,341710000549,10152,COMPUTER PROGRAMMING
2017-2018,Robbinsville High School,5510,030,341710000549,10157,AP COMPUTER SCIENCE A
2017-2018,Roselle Park High School,4550,050,341431005664,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,Roselle Park High School,4550,050,341431005664,10157,AP COMPUTER SCIENCE A
2017-2018,Roxbury High School,4560,050,341434004524,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Roxbury High School,4560,050,341434004524,10152,COMPUTER PROGRAMMING
2017-2018,Roxbury High School,4560,050,341434004524,10157,AP COMPUTER SCIENCE A
2017-2018,RUMSON-FAIR HAVEN REGIONAL HIGH SCHOOL,4580,050,341440004094,10155,JAVA PROGRAMMING
2017-2018,RUMSON-FAIR HAVEN REGIONAL HIGH SCHOOL,4580,050,341440004094,10157,AP COMPUTER SCIENCE A
2017-2018,Rutherford High School,4600,050,341446000810,10152,COMPUTER PROGRAMMING
2017-2018,Rutherford High School,4600,050,341446000810,10154,C++ PROGRAMMING
2017-2018,Rutherford High School,4600,050,341446000810,10155,JAVA PROGRAMMING
2017-2018,Rutherford High School,4600,050,341446000810,10157,AP COMPUTER SCIENCE A
2017-2018,Sayreville War Memorial High School,4660,050,341464003580,10152,COMPUTER PROGRAMMING
2017-2018,Scotch Plains-Fanwood High School,4670,050,341467005676,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Scotch Plains-Fanwood High School,4670,050,341467005676,10152,COMPUTER PROGRAMMING
2017-2018,Scotch Plains-Fanwood High School,4670,050,341467005676,10157,AP COMPUTER SCIENCE A
2017-2018,Seneca High School,2610,070,340849000701,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,Shawnee High School,2610,060,340849001096,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,Shawnee High School,2610,060,340849001096,10155,JAVA PROGRAMMING
2017-2018,SOMERVILLE HIGH SCHOOL,4820,050,341509005284,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,SOMERVILLE HIGH SCHOOL,4820,050,341509005284,10157,AP COMPUTER SCIENCE A
2017-2018,South Brunswick High School,4860,050,341521003610,10152,COMPUTER PROGRAMMING
2017-2018,South Brunswick High School,4860,050,341521003610,10157,AP COMPUTER SCIENCE A
2017-2018,South Plainfield High School,4910,050,341536003632,10157,AP COMPUTER SCIENCE A
2017-2018,Southern Regional High School,4950,050,341548004710,10152,COMPUTER PROGRAMMING
2017-2018,SPARTA HIGH SCHOOL,4960,050,341551005396,10152,COMPUTER PROGRAMMING
2017-2018,SPARTA HIGH SCHOOL,4960,050,341551005396,10155,JAVA PROGRAMMING
2017-2018,SPARTA HIGH SCHOOL,4960,050,341551005396,10157,AP COMPUTER SCIENCE A
2017-2018,Spotswood High School,4970,040,341554003660,10152,COMPUTER PROGRAMMING
2017-2018,Spotswood High School,4970,040,341554003660,10157,AP COMPUTER SCIENCE A
2017-2018,Summit High School,5090,050,341590005708,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Summit High School,5090,050,341590005708,10152,COMPUTER PROGRAMMING
2017-2018,Summit High School,5090,050,341590005708,10155,JAVA PROGRAMMING
2017-2018,Summit High School,5090,050,341590005708,10157,AP COMPUTER SCIENCE A
2017-2018,Teaneck High School,5150,050,341608000840,10152,COMPUTER PROGRAMMING
2017-2018,Teaneck High School,5150,050,341608000840,10157,AP COMPUTER SCIENCE A
2017-2018,TENAFLY HIGH SCHOOL,5160,050,341611000864,10152,COMPUTER PROGRAMMING
2017-2018,TENAFLY HIGH SCHOOL,5160,050,341611000864,10154,C++ PROGRAMMING
2017-2018,TENAFLY HIGH SCHOOL,5160,050,341611000864,10155,JAVA PROGRAMMING
2017-2018,TENAFLY HIGH SCHOOL,5160,050,341611000864,10157,AP COMPUTER SCIENCE A
2017-2018,Thomas A. Edison Career and Technical Academy,1320,404,340459003045,10152,COMPUTER PROGRAMMING
2017-2018,Thomas Edison EnergySmart Charter School,6081,967,340074603143,10152,COMPUTER PROGRAMMING
2017-2018,Toms River High School East,5190,030,341623005919,10152,COMPUTER PROGRAMMING
2017-2018,Toms River High School East,5190,030,341623005919,10157,AP COMPUTER SCIENCE A
2017-2018,Toms River High School North,5190,040,341623004722,10152,COMPUTER PROGRAMMING
2017-2018,Toms River High School North,5190,040,341623004722,10157,AP COMPUTER SCIENCE A
2017-2018,Toms River High School South,5190,050,341623004724,10152,COMPUTER PROGRAMMING
2017-2018,Toms River High School South,5190,050,341623004724,10157,AP COMPUTER SCIENCE A
2017-2018,Union City High School,5240,055,341638003059,10152,COMPUTER PROGRAMMING
2017-2018,Union County Tech,5260,050,341804005738,10157,AP COMPUTER SCIENCE A
2017-2018,UNION SENIOR HIGH,5290,050,341650005742,10152,COMPUTER PROGRAMMING
2017-2018,Vernon Township High School,5360,020,341671005422,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Vernon Township High School,5360,020,341671005422,10157,AP COMPUTER SCIENCE A
2017-2018,Verona High School,5370,050,341674002448,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Verona High School,5370,050,341674002448,10157,AP COMPUTER SCIENCE A
2017-2018,Veterans Memorial Middle School,0530,090,340222004602,10152,COMPUTER PROGRAMMING
2017-2018,Vineland Senior High School,5390,050,341680001902,10152,COMPUTER PROGRAMMING
2017-2018,Vineland Senior High School,5390,050,341680001902,10155,JAVA PROGRAMMING
2017-2018,Voorhees High School,3660,060,341161003026,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Voorhees High School,3660,060,341161003026,10152,COMPUTER PROGRAMMING
2017-2018,Voorhees High School,3660,060,341161003026,10155,JAVA PROGRAMMING
2017-2018,Voorhees High School,3660,060,341161003026,10157,AP COMPUTER SCIENCE A
2017-2018,Waldwick High School,5410,030,341686000888,10152,COMPUTER PROGRAMMING
2017-2018,Waldwick High School,5410,030,341686000888,10155,JAVA PROGRAMMING
2017-2018,WALLINGTON JUNIOR SENIOR HIGH SCHOOL,5430,050,341692000898,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,WALLINGTON JUNIOR SENIOR HIGH SCHOOL,5430,050,341692000898,10157,AP COMPUTER SCIENCE A
2017-2018,WALLKILL VALLEY REGIONAL HIGH SCHOOL,5435,060,341687005949,10152,COMPUTER PROGRAMMING
2017-2018,WALLKILL VALLEY REGIONAL HIGH SCHOOL,5435,060,341687005949,10157,AP COMPUTER SCIENCE A
2017-2018,Walter O. Krumbiegel Middle School,2190,085,340729005546,10152,COMPUTER PROGRAMMING
2017-2018,Warren County Vocational Technical School,5460,050,341792005872,10152,COMPUTER PROGRAMMING
2017-2018,Warren County Vocational Technical School,5460,050,341792005872,10157,AP COMPUTER SCIENCE A
2017-2018,Warren Hills Regional High School,5465,050,341697005878,10152,COMPUTER PROGRAMMING
2017-2018,Warren Hills Regional High School,5465,050,341697005878,10157,AP COMPUTER SCIENCE A
2017-2018,WASHINGTON TOWNSHIP HIGH SCHOOL,5500,010,341707002640,10154,C++ PROGRAMMING
2017-2018,WASHINGTON TOWNSHIP HIGH SCHOOL,5500,010,341707002640,10155,JAVA PROGRAMMING
2017-2018,WASHINGTON TOWNSHIP HIGH SCHOOL,5500,010,341707002640,10157,AP COMPUTER SCIENCE A
2017-2018,Watchung Hills Regional High School,5550,050,341722005320,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Watchung Hills Regional High School,5550,050,341722005320,10152,COMPUTER PROGRAMMING
2017-2018,Watchung Hills Regional High School,5550,050,341722005320,10157,AP COMPUTER SCIENCE A
2017-2018,WAYNE HILLS HIGH SCHOOL,5570,055,341728004966,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,WAYNE HILLS HIGH SCHOOL,5570,055,341728004966,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,WAYNE HILLS HIGH SCHOOL,5570,055,341728004966,10154,C++ PROGRAMMING
2017-2018,WAYNE HILLS HIGH SCHOOL,5570,055,341728004966,10155,JAVA PROGRAMMING
2017-2018,WAYNE HILLS HIGH SCHOOL,5570,055,341728004966,10157,AP COMPUTER SCIENCE A
2017-2018,WAYNE VALLEY HIGH SCHOOL,5570,050,341728004964,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,WAYNE VALLEY HIGH SCHOOL,5570,050,341728004964,10155,JAVA PROGRAMMING
2017-2018,WAYNE VALLEY HIGH SCHOOL,5570,050,341728004964,10157,AP COMPUTER SCIENCE A
2017-2018,Weehawken High School,5580,050,341731002928,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Weehawken High School,5580,050,341731002928,10152,COMPUTER PROGRAMMING
2017-2018,Weehawken High School,5580,050,341731002928,10157,AP COMPUTER SCIENCE A
2017-2018,West Caldwell Tech,1390,080,340480002080,10152,COMPUTER PROGRAMMING
2017-2018,West Caldwell Tech,1390,080,340480002080,10157,AP COMPUTER SCIENCE A
2017-2018,West Deptford High School,5620,050,341743002662,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,West Deptford High School,5620,050,341743002662,10152,COMPUTER PROGRAMMING
2017-2018,West Deptford High School,5620,050,341743002662,10155,JAVA PROGRAMMING
2017-2018,West Essex High School,5630,050,341746002462,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,West Essex High School,5630,050,341746002462,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,West Essex High School,5630,050,341746002462,10157,AP COMPUTER SCIENCE A
2017-2018,West Milford High School,5650,040,341752004996,10154,C++ PROGRAMMING
2017-2018,West Milford High School,5650,040,341752004996,10155,JAVA PROGRAMMING
2017-2018,West Milford High School,5650,040,341752004996,10157,AP COMPUTER SCIENCE A
2017-2018,WEST MORRIS CENTRAL HIGH SCHOOL,5660,030,341755004550,10152,COMPUTER PROGRAMMING
2017-2018,WEST MORRIS CENTRAL HIGH SCHOOL,5660,030,341755004550,10159,IB COMPUTING STUDIES
2017-2018,WEST MORRIS MENDHAM HIGH SCHOOL,5660,050,341755004552,10152,COMPUTER PROGRAMMING
2017-2018,WEST MORRIS MENDHAM HIGH SCHOOL,5660,050,341755004552,10159,IB COMPUTING STUDIES
2017-2018,West Orange High School,5680,050,341761002468,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,West Orange High School,5680,050,341761002468,10154,C++ PROGRAMMING
2017-2018,West Orange High School,5680,050,341761002468,10155,JAVA PROGRAMMING
2017-2018,West Orange High School,5680,050,341761002468,10157,AP COMPUTER SCIENCE A
2017-2018,West Windsor-Plainsboro High School North,5715,025,341770000191,10152,COMPUTER PROGRAMMING
2017-2018,West Windsor-Plainsboro High School North,5715,025,341770000191,10157,AP COMPUTER SCIENCE A
2017-2018,West Windsor-Plainsboro High School South,5715,020,341770003258,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,West Windsor-Plainsboro High School South,5715,020,341770003258,10152,COMPUTER PROGRAMMING
2017-2018,West Windsor-Plainsboro High School South,5715,020,341770003258,10157,AP COMPUTER SCIENCE A
2017-2018,WESTFIELD SENIOR HIGH SCHOOL,5730,050,341776005764,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,WESTFIELD SENIOR HIGH SCHOOL,5730,050,341776005764,10157,AP COMPUTER SCIENCE A
2017-2018,WESTWOOD JUNIONR/SENIOR HIGH SCHOOL,5755,050,341782000906,10152,COMPUTER PROGRAMMING
2017-2018,WILLIAMSTOWN HIGH SCHOOL,3280,050,341047002594,10154,C++ PROGRAMMING
2017-2018,WILLIAMSTOWN HIGH SCHOOL,3280,050,341047002594,10155,JAVA PROGRAMMING
2017-2018,WILLIAMSTOWN HIGH SCHOOL,3280,050,341047002594,10157,AP COMPUTER SCIENCE A
2017-2018,Winslow Township High School,5820,010,341806000437,10152,COMPUTER PROGRAMMING
2017-2018,Winslow Township High School,5820,010,341806000437,10155,JAVA PROGRAMMING
2017-2018,Winslow Township High School,5820,010,341806000437,10157,AP COMPUTER SCIENCE A
2017-2018,Wood-Ridge Jr/Sr High School,5830,050,341830000922,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Wood-Ridge Jr/Sr High School,5830,050,341830000922,10157,AP COMPUTER SCIENCE A
2017-2018,WOODBRIDGE HIGH SCHOOL,5850,050,341812003672,10152,COMPUTER PROGRAMMING
2017-2018,WOODBRIDGE HIGH SCHOOL,5850,050,341812003672,10157,AP COMPUTER SCIENCE A
2017-2018,Woodbury Jr-Sr High School,5860,050,341815002688,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,Woodbury Jr-Sr High School,5860,050,341815002688,10157,AP COMPUTER SCIENCE A
2017-2018,Woodstown High School,5910,050,341833005114,10153,VISUAL BASIC (VB) PROGRAMMING